Epoch 0 | Batch 0/100 | Loss 12.627069
Epoch 0 | Batch 10/100 | Loss 10.735590
Epoch 0 | Batch 20/100 | Loss 6.574933
Epoch 0 | Batch 30/100 | Loss 4.891268
Epoch 0 | Batch 40/100 | Loss 3.856882
Epoch 0 | Batch 50/100 | Loss 3.225702
Epoch 0 | Batch 60/100 | Loss 2.775244
Epoch 0 | Batch 70/100 | Loss 2.420395
Epoch 0 | Batch 80/100 | Loss 2.151113
Epoch 0 | Batch 90/100 | Loss 1.942997
100 Test Acc = 67.28% +- 1.55%
best model! save...
Epoch 1 | Batch 0/100 | Loss 0.666505
Epoch 1 | Batch 10/100 | Loss 0.339042
Epoch 1 | Batch 20/100 | Loss 0.262976
Epoch 1 | Batch 30/100 | Loss 0.326628
Epoch 1 | Batch 40/100 | Loss 0.299946
Epoch 1 | Batch 50/100 | Loss 0.252088
Epoch 1 | Batch 60/100 | Loss 0.235274
Epoch 1 | Batch 70/100 | Loss 0.231766
Epoch 1 | Batch 80/100 | Loss 0.244000
Epoch 1 | Batch 90/100 | Loss 0.233315
100 Test Acc = 65.15% +- 1.68%
Epoch 2 | Batch 0/100 | Loss 0.000435
Epoch 2 | Batch 10/100 | Loss 0.042903
Epoch 2 | Batch 20/100 | Loss 0.135903
Epoch 2 | Batch 30/100 | Loss 0.107840
Epoch 2 | Batch 40/100 | Loss 0.138841
Epoch 2 | Batch 50/100 | Loss 0.141246
Epoch 2 | Batch 60/100 | Loss 0.125281
Epoch 2 | Batch 70/100 | Loss 0.127185
Epoch 2 | Batch 80/100 | Loss 0.124612
Epoch 2 | Batch 90/100 | Loss 0.126034
100 Test Acc = 64.05% +- 1.69%
Epoch 3 | Batch 0/100 | Loss 0.248527
Epoch 3 | Batch 10/100 | Loss 0.079638
Epoch 3 | Batch 20/100 | Loss 0.131415
Epoch 3 | Batch 30/100 | Loss 0.104465
Epoch 3 | Batch 40/100 | Loss 0.081258
Epoch 3 | Batch 50/100 | Loss 0.072403
Epoch 3 | Batch 60/100 | Loss 0.062459
Epoch 3 | Batch 70/100 | Loss 0.053834
Epoch 3 | Batch 80/100 | Loss 0.047847
Epoch 3 | Batch 90/100 | Loss 0.043151
100 Test Acc = 65.28% +- 1.57%
Epoch 4 | Batch 0/100 | Loss 0.000942
Epoch 4 | Batch 10/100 | Loss 0.004941
Epoch 4 | Batch 20/100 | Loss 0.003082
Epoch 4 | Batch 30/100 | Loss 0.002261
Epoch 4 | Batch 40/100 | Loss 0.001871
Epoch 4 | Batch 50/100 | Loss 0.003062
Epoch 4 | Batch 60/100 | Loss 0.002625
Epoch 4 | Batch 70/100 | Loss 0.002261
Epoch 4 | Batch 80/100 | Loss 0.002008
Epoch 4 | Batch 90/100 | Loss 0.002154
100 Test Acc = 63.92% +- 1.74%
Epoch 5 | Batch 0/100 | Loss 0.000026
Epoch 5 | Batch 10/100 | Loss 0.000153
Epoch 5 | Batch 20/100 | Loss 0.000221
Epoch 5 | Batch 30/100 | Loss 0.000177
Epoch 5 | Batch 40/100 | Loss 0.000174
Epoch 5 | Batch 50/100 | Loss 0.000147
Epoch 5 | Batch 60/100 | Loss 0.000206
Epoch 5 | Batch 70/100 | Loss 0.000183
Epoch 5 | Batch 80/100 | Loss 0.000162
Epoch 5 | Batch 90/100 | Loss 0.000159
100 Test Acc = 61.80% +- 1.80%
Epoch 6 | Batch 0/100 | Loss 0.000174
Epoch 6 | Batch 10/100 | Loss 0.000035
Epoch 6 | Batch 20/100 | Loss 0.000036
Epoch 6 | Batch 30/100 | Loss 0.000031
Epoch 6 | Batch 40/100 | Loss 0.000029
Epoch 6 | Batch 50/100 | Loss 0.000042
Epoch 6 | Batch 60/100 | Loss 0.000045
Epoch 6 | Batch 70/100 | Loss 0.000047
Epoch 6 | Batch 80/100 | Loss 0.000054
Epoch 6 | Batch 90/100 | Loss 0.000051
100 Test Acc = 64.70% +- 1.75%
Epoch 7 | Batch 0/100 | Loss 0.000015
Epoch 7 | Batch 10/100 | Loss 0.000112
