Epoch 11 | Batch 30/100 | Loss 0.076211
Epoch 11 | Batch 40/100 | Loss 0.183909
Epoch 11 | Batch 50/100 | Loss 0.235483
Epoch 11 | Batch 60/100 | Loss 0.289955
Epoch 11 | Batch 70/100 | Loss 0.317792
Epoch 11 | Batch 80/100 | Loss 0.296061
Epoch 11 | Batch 90/100 | Loss 0.277892
100 Test Acc = 72.96% +- 1.51%
Epoch 12 | Batch 0/100 | Loss 0.132481
Epoch 12 | Batch 10/100 | Loss 0.110254
Epoch 12 | Batch 20/100 | Loss 0.074100
Epoch 12 | Batch 30/100 | Loss 0.052230
Epoch 12 | Batch 40/100 | Loss 0.047562
Epoch 12 | Batch 50/100 | Loss 0.040653
Epoch 12 | Batch 60/100 | Loss 0.040580
Epoch 12 | Batch 70/100 | Loss 0.039581
Epoch 12 | Batch 80/100 | Loss 0.034894
Epoch 12 | Batch 90/100 | Loss 0.034431
100 Test Acc = 72.03% +- 1.26%
Epoch 13 | Batch 0/100 | Loss 0.006374
Epoch 13 | Batch 10/100 | Loss 0.006736
Epoch 13 | Batch 20/100 | Loss 0.004752
Epoch 13 | Batch 30/100 | Loss 0.004330
Epoch 13 | Batch 40/100 | Loss 0.003911
Epoch 13 | Batch 50/100 | Loss 0.003742
Epoch 13 | Batch 60/100 | Loss 0.003169
Epoch 13 | Batch 70/100 | Loss 0.003024
Epoch 13 | Batch 80/100 | Loss 0.002735
Epoch 13 | Batch 90/100 | Loss 0.002480
100 Test Acc = 71.99% +- 1.29%
Epoch 14 | Batch 0/100 | Loss 0.000044
Epoch 14 | Batch 10/100 | Loss 0.000647
Epoch 14 | Batch 20/100 | Loss 0.000411
Epoch 14 | Batch 30/100 | Loss 0.000331
Epoch 14 | Batch 40/100 | Loss 0.000324
Epoch 14 | Batch 50/100 | Loss 0.000342
Epoch 14 | Batch 60/100 | Loss 0.000302
Epoch 14 | Batch 70/100 | Loss 0.000302
Epoch 14 | Batch 80/100 | Loss 0.000286
Epoch 14 | Batch 90/100 | Loss 0.000276
100 Test Acc = 73.09% +- 1.19%
Epoch 15 | Batch 0/100 | Loss 0.000367
Epoch 15 | Batch 10/100 | Loss 0.000352
Epoch 15 | Batch 20/100 | Loss 0.000628
Epoch 15 | Batch 30/100 | Loss 0.000447
Epoch 15 | Batch 40/100 | Loss 0.000380
Epoch 15 | Batch 50/100 | Loss 0.000356
Epoch 15 | Batch 60/100 | Loss 0.000360
Epoch 15 | Batch 70/100 | Loss 0.000330
Epoch 15 | Batch 80/100 | Loss 0.000295
Epoch 15 | Batch 90/100 | Loss 0.000269
100 Test Acc = 73.42% +- 1.35%
Epoch 16 | Batch 0/100 | Loss 0.000005
Epoch 16 | Batch 10/100 | Loss 0.000063
Epoch 16 | Batch 20/100 | Loss 0.000064
Epoch 16 | Batch 30/100 | Loss 0.000177
Epoch 16 | Batch 40/100 | Loss 0.000145
Epoch 16 | Batch 50/100 | Loss 0.000133
Epoch 16 | Batch 60/100 | Loss 0.000131
Epoch 16 | Batch 70/100 | Loss 0.000126
Epoch 16 | Batch 80/100 | Loss 0.000121
Epoch 16 | Batch 90/100 | Loss 0.000112
100 Test Acc = 73.15% +- 1.25%
Epoch 17 | Batch 0/100 | Loss 0.000114
Epoch 17 | Batch 10/100 | Loss 0.000080
Epoch 17 | Batch 20/100 | Loss 0.000064
Epoch 17 | Batch 30/100 | Loss 0.000134
Epoch 17 | Batch 40/100 | Loss 0.000146
Epoch 17 | Batch 50/100 | Loss 0.000132
Epoch 17 | Batch 60/100 | Loss 0.000416
Epoch 17 | Batch 70/100 | Loss 0.000370
Epoch 17 | Batch 80/100 | Loss 0.000341
Epoch 17 | Batch 90/100 | Loss 0.000326
100 Test Acc = 71.71% +- 1.29%
Epoch 18 | Batch 0/100 | Loss 0.000049
Epoch 18 | Batch 10/100 | Loss 0.000084
Epoch 18 | Batch 20/100 | Loss 0.000083
Epoch 18 | Batch 30/100 | Loss 0.000070
