Epoch 0 | Batch 0/100 | Loss 23.334652
Epoch 0 | Batch 10/100 | Loss 3.139221
Epoch 0 | Batch 20/100 | Loss 2.071580
Epoch 0 | Batch 30/100 | Loss 1.546728
Epoch 0 | Batch 40/100 | Loss 1.247220
Epoch 0 | Batch 50/100 | Loss 1.066901
Epoch 0 | Batch 60/100 | Loss 0.915452
Epoch 0 | Batch 70/100 | Loss 0.793353
Epoch 0 | Batch 80/100 | Loss 0.710284
Epoch 0 | Batch 90/100 | Loss 0.635771
100 Test Acc = 85.85% +- 1.58%
best model! save...
Epoch 1 | Batch 0/100 | Loss 0.007615
Epoch 1 | Batch 10/100 | Loss 0.031421
Epoch 1 | Batch 20/100 | Loss 0.028099
Epoch 1 | Batch 30/100 | Loss 0.029402
Epoch 1 | Batch 40/100 | Loss 0.045137
Epoch 1 | Batch 50/100 | Loss 0.042557
Epoch 1 | Batch 60/100 | Loss 0.039918
Epoch 1 | Batch 70/100 | Loss 0.036966
Epoch 1 | Batch 80/100 | Loss 0.033121
Epoch 1 | Batch 90/100 | Loss 0.032866
